================================================================================
DEC	OCT	HX	UTF8	BINARY   	VAL	Description
135	207	87	\u00e7	1000 0111	ç	letter c with cedilla
136	210	88	\u00ea	1000 1000	ê	letter e with circumflex
137	211	89	\u00eb	1000 1001	ë	letter e with diaeresis
138	212	8A	\u00e8	1000 1010	è	letter e with grave
139	213	8B	\u00ef	1000 1011	ï	letter i with diaeresis
140	214	8C	\u00ee	1000 1100	î	letter i with circumflex
141	215	8D	\u00ec	1000 1101	ì	letter i with grave
142	216	8E	\u00c4	1000 1110	Ä	capital letter a with diaeresis
143	217	8F	\u00c5	1000 1111	Å	capital letter a with ring above
144	220	90	\u00c9	1001 0000	É	capital letter e with acute
145	221	91	\u00e6	1001 0001	æ	letter ae
146	222	92	\u00c6	1001 0010	Æ	capital letter ae
147	223	93	\u00f4	1001 0011	ô	letter o with circumflex
148	224	94	\u00f6	1001 0100	ö	letter o with diaeresis
149	225	95	\u00f2	1001 0101	ò	letter o with grave
150	226	96	\u00fb	1001 0110	û	letter u with circumflex
151	227	97	\u00f9	1001 0111	ù	letter u with grave
152	230	98	\u00ff	1001 1000	ÿ	letter y with diaeresis
153	231	99	\u00d6	1001 1001	Ö	capital letter o with diaeresis
154	232	9A	\u00dc	1001 1010	Ü	capital letter u with diaeresis
155	233	9B	\u00a2	1001 1011	¢	letter o with stroke
156	234	9C	\u00a3	1001 1100	£	pound sign
157	235	9D	\u00a5	1001 1101	¥	yen sign
158	236	9E	\u20a7	1001 1110	₧	peseta sign
159	237	9F	\u0192	1001 1111	ƒ	letter f with hook
160	240	A0	\u00e1	1010 0000	á	letter a with acute
161	241	A1	\u00ed	1010 0001	í	letter i with acute
162	242	A2	\u00f3	1010 0010	ó	letter o with acute
163	243	A3	\u00fa	1010 0011	ú	letter u with acute
164	244	A4	\u00f1	1010 0100	ñ	letter n with tilde
165	245	A5	\u00d1	1010 0101	Ñ	capital letter n with tilde
166	246	A6	\u00aa	1010 0110	ª	feminine ordinal indicator
167	247	A7	\u00ba	1010 0111	º	masculine ordinal indicator
168	250	A8	\u00bf	1010 1000	¿	inverted question mark
169	251	A9	\u2310	1010 1001	⌐	reversed not sign
170	252	AA	\u00ac	1010 1010	¬	not sign
171	253	AB	\u00bd	1010 1011	½	one half
172	254	AC	\u00bc	1010 1100	¼	one quarter
173	255	AD	\u00a1	1010 1101	¡	inverted exclamation mark
174	256	AE	\u00ab	1010 1110	«	left double angle quotation mark
175	257	AF	\u00bb	1010 1111	»	right double angle quotation mark
176	260	B0	\u2591	1011 0000	░	light shade
177	261	B1	\u2592	1011 0001	▒	medium shade
178	262	B2	\u2593	1011 0010	▓	dark shade
179	263	B3	\u2502	1011 0011	│	single vertical
180	264	B4	\u2524	1011 0100	┤	single vertical and left
181	265	B5	\u2561	1011 0101	╡	single vertical and double left
182	266	B6	\u2562	1011 0110	╢	double vertical and single left
183	267	B7	\u2556	1011 0111	╖	double down and single left
184	270	B8	\u2555	1011 1000	╕	single down and double left
185	271	B9	\u2563	1011 1001	╣	double vertical and left
186	272	BA	\u2551	1011 1010	║	double vertical
187	273	BB	\u2557	1011 1011	╗	double down and left
188	274	BC	\u255d	1011 1100	╝	double up and left
189	275	BD	\u255c	1011 1101	╜	double up and single left
190	276	BE	\u255b	1011 1110	╛	single up and double left
191	277	BF	\u2510	1011 1111	┐	single down and left
192	300	C0	\u2514	1100 0000	└	single up and right
193	301	C1	\u2534	1100 0001	┴	single up and horizontal
194	302	C2	\u252c	1100 0010	┬	single down and horizontal
195	303	C3	\u251c	1100 0011	├	single vertical and right
196	304	C4	\u2500	1100 0100	─	single horizontal
197	305	C5	\u253c	1100 0101	┼	single vertical and horizontal
198	306	C6	\u255e	1100 0110	╞	single vertical and double right
199	307	C7	\u255f	1100 0111	╟	double vertical and single right
200	310	C8	\u255a	1100 1000	╚	double up and right
201	311	C9	\u2554	1100 1001	╔	double down and right
202	312	CA	\u2569	1100 1010	╩	double up and horizontal
203	313	CB	\u2566	1100 1011	╦	double down and horizontal
204	314	CC	\u2560	1100 1100	╠	double vertical and right
205	315	CD	\u2550	1100 1101	═	double horizontal
206	316	CE	\u256c	1100 1110	╬	double vertical and horizontal
207	317	CF	\u2567	1100 1111	╧	single up and double horizontal
208	320	D0	\u2568	1101 0000	╨	double up and single horizontal
209	321	D1	\u2564	1101 0001	╤	single down and double horizontal
210	322	D2	\u2565	1101 0010	╥	double down and single horizontal
211	323	D3	\u2559	1101 0011	╙	double up and single right
212	324	D4	\u2558	1101 0100	╘	single up and double right
213	325	D5	\u2552	1101 0101	╒	single down and double right
214	326	D6	\u2553	1101 0110	╓	double down and single right
215	327	D7	\u256b	1101 0111	╫	double vertical and single horizontal
216	330	D8	\u256a	1101 1000	╪	single vertical and double horizontal
217	331	D9	\u2518	1101 1001	┘	single up and left
218	332	DA	\u250c	1101 1010	┌	single down and right
219	333	DB	\u2588	1101 1011	█	full block
220	334	DC	\u2584	1101 1100	▄	bottom half block
221	335	DD	\u258c	1101 1101	▌	left half block
222	336	DE	\u2590	1101 1110	▐	right half block
223	337	DF	\u2580	1101 1111	▀	top half block
224	340	E0	\u03b1	1110 0000	α	greek letter alpha
225	341	E1	\u00df	1110 0001	ß	letter sharp s
226	342	E2	\u0393	1110 0010	Γ	greek capital letter gamma
227	343	E3	\u03c0	1110 0011	π	greek letter pi
228	344	E4	\u03a3	1110 0100	Σ	greek capital letter sigma
229	345	E5	\u03c3	1110 0101	σ	greek letter sigma
230	346	E6	\u00b5	1110 0110	µ	micro sign
231	347	E7	\u03c4	1110 0111	τ	greek letter tau
232	350	E8	\u03a6	1110 1000	Φ	greek capital letter phi
233	351	E9	\u0398	1110 1001	Θ	greek capital letter theta
234	352	EA	\u03a9	1110 1010	Ω	greek capital letter omega
235	353	EB	\u03b4	1110 1011	δ	greek letter delta
236	354	EC	\u221e	1110 1100	∞	infinity
237	355	ED	\u03c6	1110 1101	φ	greek letter phi
238	356	EE	\u03b5	1110 1110	ε	greek letter epsilon
239	357	EF	\u2229	1110 1111	∩	intersection
240	360	F0	\u2261	1111 0000	≡	identical to
241	361	F1	\u00b1	1111 0001	±	plus-minus sign
242	362	F2	\u2265	1111 0010	≥	greater than or equal to
243	363	F3	\u2264	1111 0011	≤	less than or equal to
244	364	F4	\u2320	1111 0100	⌠	top half integral
245	365	F5	\u2321	1111 0101	⌡	bottom half integral
246	366	F6	\u00f7	1111 0110	÷	division sign
247	367	F7	\u2248	1111 0111	≈	almost equal to
248	370	F8	\u00b0	1111 1000	°	degree sign
249	371	F9	\u2219	1111 1001	∙	bullet operator
250	372	FA	\u00b7	1111 1010	·	middle dot
251	373	FB	\u221a	1111 1011	√	square root
252	374	FC	\u207f	1111 1100	ⁿ	superscript n
253	375	FD	\u00b2	1111 1101	²	superscript 2
254	376	FE	\u25a0	1111 1110	■	black square
255	377	FF	\u00A0	1111 1111	 	no-break space
